@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
234,'2016/10/31 19:17:07:956',2,0.053906,0.916667,1,0,1
235,'2016/10/31 19:17:07:976',2,0.0625,0.929167,1,0,1
236,'2016/10/31 19:17:07:996',2,0.073437,0.933333,1,0,1
237,'2016/10/31 19:17:08:016',2,0.084375,0.922222,1,0,1
238,'2016/10/31 19:17:08:036',2,0.084375,0.922222,1,0,1
239,'2016/10/31 19:17:08:056',2,0.084375,0.922222,1,0,1
240,'2016/10/31 19:17:08:076',2,0.084375,0.922222,1,0,1
241,'2016/10/31 19:17:08:096',2,0.084375,0.922222,1,0,1
242,'2016/10/31 19:17:08:116',2,0.084375,0.922222,1,0,1
243,'2016/10/31 19:17:08:136',2,0.084375,0.922222,1,0,1
244,'2016/10/31 19:17:08:156',2,0.084375,0.922222,1,0,1
245,'2016/10/31 19:17:08:176',2,0.084375,0.922222,1,0,1
246,'2016/10/31 19:17:08:196',2,0.084375,0.922222,1,0,1
247,'2016/10/31 19:17:08:216',2,0.084375,0.922222,1,0,1
248,'2016/10/31 19:17:08:236',2,0.084375,0.922222,1,0,1
249,'2016/10/31 19:17:08:256',2,0.084375,0.922222,1,0,1
250,'2016/10/31 19:17:08:276',2,0.084375,0.922222,1,0,1
251,'2016/10/31 19:17:26:872',3,0.941406,0.045833,0.61,0.62,1
252,'2016/10/31 19:17:26:892',3,0.941406,0.045833,0.61,0.62,1
253,'2016/10/31 19:17:26:912',3,0.941406,0.045833,0.61,0.62,1
254,'2016/10/31 19:17:26:932',3,0.941406,0.045833,0.61,0.62,1
255,'2016/10/31 19:17:26:952',3,0.941406,0.045833,0.61,0.62,1
256,'2016/10/31 19:17:26:972',3,0.941406,0.045833,0.61,0.62,1
257,'2016/10/31 19:17:26:992',3,0.941406,0.045833,0.61,0.62,1
258,'2016/10/31 19:17:27:012',3,0.941406,0.045833,0.61,0.62,1
259,'2016/10/31 19:17:27:032',3,0.941406,0.045833,0.61,0.62,1
260,'2016/10/31 19:17:27:052',3,0.941406,0.045833,0.61,0.62,1
261,'2016/10/31 19:17:27:072',3,0.941406,0.045833,0.61,0.62,1
262,'2016/10/31 19:17:27:092',3,0.941406,0.045833,0.61,0.62,1
263,'2016/10/31 19:17:27:112',3,0.941406,0.045833,0.61,0.62,1
264,'2016/10/31 19:17:27:132',3,0.941406,0.045833,0.61,0.62,1
265,'2016/10/31 19:17:27:152',3,0.941406,0.045833,0.61,0.62,1
266,'2016/10/31 19:17:27:172',3,0.941406,0.045833,0.61,0.62,1
267,'2016/10/31 19:17:27:192',3,0.941406,0.045833,0.61,0.62,1
268,'2016/10/31 19:17:27:212',3,0.941406,0.045833,0.61,0.62,1
269,'2016/10/31 19:17:27:232',3,0.941406,0.045833,0.61,0.62,1
270,'2016/10/31 19:17:27:252',3,0.941406,0.045833,0.61,0.62,1
271,'2016/10/31 19:17:27:272',3,0.941406,0.047222,0.61,0.62,1
272,'2016/10/31 19:17:27:292',3,0.945313,0.058333,0.61,0.62,1
273,'2016/10/31 19:17:27:312',3,0.955469,0.081944,0.61,0.62,1
274,'2016/10/31 19:17:27:332',3,0.959375,0.088889,0.61,0.62,1
275,'2016/10/31 19:17:27:352',3,0.965625,0.097222,0.61,0.62,1
276,'2016/10/31 19:17:27:372',3,0.975,0.101389,0.61,0.62,1
277,'2016/10/31 19:17:27:392',3,0.980469,0.101389,0.61,0.62,1
278,'2016/10/31 19:17:27:412',3,0.985156,0.091667,0.61,0.62,1
279,'2016/10/31 19:17:27:432',3,0.982031,0.045833,0.61,0.62,1
280,'2016/10/31 19:17:27:452',3,0.971875,0.029167,0.61,0.62,1
