@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
191,'2016/10/31 13:05:36:700',3,0.021528,0.041111,0,0.89,0
192,'2016/10/31 13:05:36:720',3,0.017361,0.051111,0,0.89,0
193,'2016/10/31 13:05:36:740',3,0.015972,0.071111,0,0.89,0
194,'2016/10/31 13:05:36:760',3,0.015972,0.091111,0,0.89,0
195,'2016/10/31 13:05:36:780',3,0.023611,0.114444,0,0.89,0
196,'2016/10/31 13:05:36:800',3,0.050694,0.146667,0,0.89,0
197,'2016/10/31 13:05:36:820',3,0.068056,0.15,0,0.89,0
198,'2016/10/31 13:05:36:840',3,0.085417,0.146667,0,0.89,0
199,'2016/10/31 13:05:36:860',3,0.097222,0.132222,0,0.89,0
200,'2016/10/31 13:05:36:880',3,0.102778,0.12,0,0.89,0
201,'2016/10/31 13:05:36:900',3,0.106944,0.096667,0,0.89,0
202,'2016/10/31 13:05:36:920',3,0.095833,0.044444,0,0.89,0
203,'2016/10/31 13:05:36:940',3,0.086111,0.027778,0,0.89,0
204,'2016/10/31 13:05:36:960',3,0.070139,0.012222,0,0.89,0
205,'2016/10/31 13:05:36:980',3,0.061111,0.01,0,0.89,0
206,'2016/10/31 13:05:37:000',3,0.05,0.008889,0,0.89,0
207,'2016/10/31 13:05:37:023',3,0.036111,0.021111,0,0.89,0
208,'2016/10/31 13:05:37:040',3,0.031944,0.035556,0,0.89,0
209,'2016/10/31 13:05:37:060',3,0.029167,0.061111,0,0.89,0
210,'2016/10/31 13:05:37:080',3,0.029167,0.083333,0,0.89,0
211,'2016/10/31 13:05:37:100',3,0.032639,0.104444,0,0.89,0
212,'2016/10/31 13:05:37:120',3,0.040278,0.117778,0,0.89,0
213,'2016/10/31 13:05:37:140',3,0.050694,0.126667,0,0.89,0
214,'2016/10/31 13:05:37:160',3,0.073611,0.13,0,0.89,0
215,'2016/10/31 13:05:37:180',3,0.081944,0.124444,0,0.89,0
216,'2016/10/31 13:05:37:200',3,0.088194,0.114444,0,0.89,0
217,'2016/10/31 13:05:37:223',3,0.090972,0.1,0,0.89,0
218,'2016/10/31 13:05:37:240',3,0.090972,0.085556,0,0.89,0
219,'2016/10/31 13:05:37:260',3,0.086806,0.075556,0,0.89,0
220,'2016/10/31 13:05:37:280',3,0.078472,0.062222,0,0.89,0
221,'2016/10/31 13:05:37:300',3,0.078472,0.062222,0,0.89,0
222,'2016/10/31 13:05:37:320',3,0.078472,0.062222,0,0.89,0
223,'2016/10/31 13:05:37:340',3,0.078472,0.062222,0,0.89,0
224,'2016/10/31 13:05:37:360',3,0.078472,0.062222,0,0.89,0
225,'2016/10/31 13:05:52:988',4,0.915278,0.003333,0.99,0.24,0
226,'2016/10/31 13:05:53:009',4,0.915278,0.003333,0.99,0.24,0
227,'2016/10/31 13:05:53:028',4,0.915278,0.003333,0.99,0.24,0
228,'2016/10/31 13:05:53:048',4,0.915278,0.003333,0.99,0.24,0
229,'2016/10/31 13:05:53:068',4,0.915278,0.003333,0.99,0.24,0
230,'2016/10/31 13:05:53:087',4,0.915278,0.003333,0.99,0.24,0
